"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3369210,"December 3, 2025",Georgia,"Flowery Branch","3756 Atlanta Hwy",0,1,0,0,2,N/A
3368032,"December 2, 2025","North Carolina","Red Springs","509 N Vance St Ext",0,0,0,0,1,N/A
3368647,"December 2, 2025",Ohio,Cleveland,"106000 block of Superior Ave",1,0,0,0,0,N/A
3368466,"December 2, 2025",Michigan,Southfield,"27000 block of Berkshire Dr",0,1,0,0,0,N/A
3369176,"December 2, 2025",Idaho,"Nampa (Bowmont)","7300 block of Main St",1,1,0,0,1,N/A
3368078,"December 2, 2025","New York",Bronx,"1003 Soundview Ave",0,1,0,0,0,N/A
3367985,"December 2, 2025",Indiana,Indianapolis,"900 block of W Sumner Ave",0,1,0,0,0,N/A
3367980,"December 2, 2025",Ohio,Toledo,"1600 block of Freeman St",0,1,0,0,0,N/A
3368570,"December 2, 2025",Georgia,Lawrenceville,"400 block of Clearwater Pl",1,0,1,0,0,N/A
3368561,"December 2, 2025",Pennsylvania,Philadelphia,"50 block of E Pleasant St",0,1,0,0,0,N/A
3368545,"December 2, 2025",Georgia,Conyers,"1161 Old Salem Rd SE",0,0,0,0,1,N/A
3367849,"December 2, 2025",Wisconsin,Milwaukee,"N 42nd St and W Auer Ave",0,1,0,0,0,N/A
3367780,"December 2, 2025",California,"San Francisco","166 Turk St",1,0,0,0,1,N/A
3369354,"December 2, 2025",Missouri,"Saint Louis","5800 block of St Louis Ave",1,0,0,0,1,N/A
3368513,"December 2, 2025",Mississippi,Sledge,"Tibbs Rd",1,0,0,0,1,N/A
3368503,"December 2, 2025",Florida,"Saint Petersburg","5500 16th St N",0,0,0,0,1,N/A
3367847,"December 2, 2025",Texas,"San Antonio","E Southcross Blvd and Pecan Grove Dr",0,1,0,0,0,N/A
3368433,"December 2, 2025",Michigan,Lansing,"500 block of E Edgewood Blvd",0,1,0,0,0,N/A
3368441,"December 2, 2025",Florida,"Lake Wales","S 9th St and Columbia Ave",1,0,0,0,1,N/A
3368435,"December 2, 2025",Florida,Miami,"NE 71st St and NE 8th Ave",0,0,0,0,1,N/A
3368644,"December 2, 2025",Ohio,Cleveland,"2000 block of W 105th St",1,0,0,0,1,N/A
3367843,"December 2, 2025",Texas,"San Angelo","655 Caddo St",0,0,0,0,1,N/A
3368428,"December 2, 2025",Louisiana,"New Orleans","Clara St and First St",0,1,0,0,0,N/A
3368430,"December 2, 2025",Louisiana,"New Orleans",N/A,0,1,0,0,0,N/A
